phase,artifact_role,path,exists,sha256,status,claim_boundary
P206,diverse_packet_json,paper/evidence/raw_evidence_diverse_packet_p206.json,True,241ef9feab26c562fcf3b06ea2c8b73f74c11546bfb77ecaac4ca49387ffdb8b,DIVERSE_AUDIT_PACKET_BUILT_P195_STILL_BLOCKED,Raw evidence packet and QA only; semantic/category evidence is not admission ground truth.
P206,diverse_packet_csv,paper/evidence/raw_evidence_diverse_packet_p206.csv,True,8db7e9de20e2dd048c14b458407a082428e0d97ab0044ec3aafe559886b89b7e,DIVERSE_AUDIT_PACKET_BUILT_P195_STILL_BLOCKED,Raw evidence packet and QA only; semantic/category evidence is not admission ground truth.
P206,diverse_packet_report,paper/export/raw_evidence_diverse_packet_p206.md,True,5476e92cbdcef3fe26d83dec2078e2fed4c81a140e9c4b5dcc61348ae100444e,DIVERSE_AUDIT_PACKET_BUILT_P195_STILL_BLOCKED,Raw evidence packet and QA only; semantic/category evidence is not admission ground truth.
P206,triage_json,paper/evidence/raw_evidence_diverse_packet_triage_p206.json,True,9b0645f4a5a8dea29e9d5ef757c21bcd1c1bac49d82dbfecd6cbfc863544063b,DIVERSE_PACKET_TRIAGE_COMPLETE_P195_STILL_BLOCKED,Raw evidence packet and QA only; semantic/category evidence is not admission ground truth.
P206,triage_csv,paper/evidence/raw_evidence_diverse_packet_triage_p206.csv,True,49c4b09c206ab51e3bee74225db4496a8cf7ee88ef01ba76319331a091c67586,DIVERSE_PACKET_TRIAGE_COMPLETE_P195_STILL_BLOCKED,Raw evidence packet and QA only; semantic/category evidence is not admission ground truth.
P206,triage_report,paper/export/raw_evidence_diverse_packet_triage_p206.md,True,6858cc21b4de05c329f58c78a0e5e05de16eca3ec56815997377bee7930c4e76,DIVERSE_PACKET_TRIAGE_COMPLETE_P195_STILL_BLOCKED,Raw evidence packet and QA only; semantic/category evidence is not admission ground truth.
P207,quality_notes_json,paper/evidence/raw_evidence_quality_notes_p207.json,True,20ae5ff77e97917173ad78edb7616239819234213b61f3912c0e10934f0a48bd,BLANK_TEMPLATE_P195_STILL_BLOCKED,Evidence-quality notes protocol only; note fields are not labels.
P207,quality_notes_csv,paper/evidence/raw_evidence_quality_notes_p207.csv,True,1601e75e3c71f9c03489e39bba1b381fd06758cbbe9c5cabf0683f7418eda830,BLANK_TEMPLATE_P195_STILL_BLOCKED,Evidence-quality notes protocol only; note fields are not labels.
P207,quality_notes_protocol,paper/export/raw_evidence_quality_notes_protocol_p207.md,True,d27aaebf27c4f921ba711346f27ed26635647692903d690f9c6b34ca777a9ca8,PROTOCOL_READY_P195_STILL_BLOCKED,Evidence-quality notes protocol only; note fields are not labels.
P208,quality_notes_summary_json,paper/evidence/evidence_quality_notes_summary_p208.json,True,9caeabde44d1eaad37aea0f2e1a944b8dbbc41ea74eda5b3d015deed03aafe2a,PASS,Summary of blank evidence-quality notes only; no label inference or training.
P208,quality_blockers_csv,paper/evidence/evidence_quality_notes_blockers_p208.csv,True,fb8c22a24adc08c091b35bd0c727a676e06d63590dae1d3e9118aa6fdb0a4eb8,PASS_ZERO_BLOCKERS,Summary of blank evidence-quality notes only; no label inference or training.
P208,quality_notes_summary_report,paper/export/evidence_quality_notes_summary_p208.md,True,e60619251eeced0399c7299e6f50e7535b00743d742912f06b857f7fc4ed311b,PASS,Summary of blank evidence-quality notes only; no label inference or training.
